_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
68,0.5344827771186829,0.08187295496463776,0.0060117305256426334,0.0060117305256426334,0.5344827771186829,1,0.08022279292345047,0.3547123074531555,0.2619047619047619,-0.01522375550121069,0.47907301783561707,0.2931034564971924,0.6666666865348816,-0.08233719319105148,0.12788818404078484
69,0.5357142686843872,0.1210082396864891,0.013515868224203587,0.013515868224203587,0.5357142686843872,1,0.11663955450057983,0.4398660361766815,0.4642857142857143,-0.04077667370438576,1.2707557678222656,0.5357142686843872,1.0,0.0,0.1270622592419386
70,0.4642857015132904,0.08452506363391876,0.00693501764908433,0.00693501764908433,0.4642857015132904,1,0.08244279772043228,0.3826972246170044,0.5357142857142857,-0.028451792895793915,0.9058530330657959,0.3392857015132904,0.875,-0.04116860032081604,0.002758592367172241
71,0.6607142686843872,0.10407256335020065,0.009022176265716553,0.009022176265716553,0.6607142686843872,1,0.10155954957008362,0.38009652495384216,0.33928571428571425,-0.03530877083539963,0.5163054466247559,0.5357142686843872,0.875,-0.0992995984852314,-0.20130620896816254
72,0.6607142686843872,0.1135379821062088,0.010057173669338226,0.010057173669338226,0.6607142686843872,1,0.11166185885667801,0.2982053756713867,0.3392857142857143,-0.052185580134391785,0.8422330021858215,0.5357142686843872,0.875,-0.07185385748744011,0.08013065904378891
73,0.6428571343421936,0.14488431811332703,0.014533096924424171,0.014533096924424171,0.6428571343421936,1,0.14074014127254486,0.42589521408081055,0.35714285714285715,-0.044967591762542725,0.7171992063522339,0.3928571343421936,0.75,0.0,-0.08452006056904793
74,0.5535714030265808,0.09636447578668594,0.009330373257398605,0.009330373257398605,0.5535714030265808,1,0.09392564743757248,0.3553105294704437,0.4464285714285714,-0.03384296968579292,1.0796101093292236,0.4285714328289032,0.875,-0.07185385562479496,0.3463863655924797
75,0.6607142686843872,0.08728944510221481,0.008934414014220238,0.008934414014220238,0.6607142686843872,1,0.08474002033472061,0.37008804082870483,0.3392857142857143,-0.03837839886546135,0.5903252363204956,0.5357142686843872,0.875,-0.10978294909000397,-0.07986515946686268
76,0.4285714328289032,0.08762111514806747,0.006319838110357523,0.006319838110357523,0.4285714328289032,1,0.0860743299126625,0.3308255970478058,0.5714285714285714,-0.06352794915437698,1.2311921119689941,0.3035714328289032,0.875,-0.04116860032081604,0.08947949856519699
77,0.5714285969734192,0.0915665403008461,0.007373087573796511,0.007373087573796511,0.5714285969734192,1,0.08909895271062851,0.42377474904060364,0.4285714285714286,-0.04087729752063751,0.8890935182571411,0.3214285671710968,0.75,-0.04116860032081604,0.3658472038805485
